folioviv,tipo_viv,mat_pared,mat_techos,mat_pisos,antiguedad,antigua_ne,cocina,cocina_dor,cuart_dorm,num_cuarto,disp_agua,dotac_agua,excusado,uso_compar,sanit_agua,biodigest,bano_comp,bano_excus,bano_regad,drenaje,disp_elect,focos_inca,focos_ahor,combustible,estufa_chi,eli_basura,tenencia,renta,estim_pago,pago_viv,pago_mesp,tipo_adqui,viv_usada,tipo_finan,num_dueno1,hog_dueno1,num_dueno2,hog_dueno2,escrituras,lavadero,fregadero,regadera,tinaco_azo,cisterna,pileta,calent_sol,calent_gas,medidor_luz,bomba_agua,tanque_gas,aire_acond,calefacc,tot_resid,tot_hom,tot_muj,tot_hog,ubica_geo,ageb,tam_loc,est_socio,est_dis,upm,factor_viv
0100410204,1,8,10,2,30, ,1,2,3,5,1,1,1,2,2,2,0,1,0,1,1,4,0,3, ,3,5, ,500, , , , , , , , , , ,1,2,2,2,2,2,2,2,1,2,2,2,2,8,3,5,1,010010000,000-0,1,2,003,00230,579
0100410205,1,8,03,2, ,1,1,2,1,2,1,2,1,2,2,2,0,1,0,1,1,0,3,3, ,3,1,700, , ,1, , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2,2,4,3,1,1,010010000,000-0,1,2,003,00230,579
0100427101,1,8,10,2, ,1,1,2,2,3,1,1,1,2,1,2,1,0,0,1,1,0,6,3, ,3,1,1000, , ,1, , , , , , , , ,1,2,1,1,2,2,2,1,1,2,2,2,2,4,1,3,1,010010000,000-0,1,3,004,00080,566
0100427102,1,8,10,2,20, ,1,2,2,5,1,1,1,2,1,2,1,0,0,1,1,6,2,3, ,3,3, ,1500,2000,1,1,2,1,02,1, , ,1,1,1,1,1,2,2,2,1,1,2,2,2,2,4,3,1,1,010010000,000-0,1,3,004,00080,566
0100427103,1,8,10,3,23, ,1,2,2,4,1,1,1,2,1,2,1,1,0,1,1,0,7,4, ,3,1,1200, , ,1, , , , , , , , ,1,1,1,1,2,2,2,1,1,2,2,2,2,7,2,5,1,010010000,000-0,1,3,004,00080,566
0100458301,1,8,10,3,30, ,1,2,5,8,1,1,1,1,1,2,1,0,0,1,1,4,5,3, ,3,4, ,1500, , ,3, ,5,01,1, , ,1,1,1,1,1,1,2,1,2,1,1,2,2,2,8,3,5,2,010010000,000-0,1,2,003,00450,597
0100458302,1,8,10,2, ,1,1,2,2,4,1,1,1,2,2,1,0,1,0,1,1,6,0,3, ,3,1,1000, , ,1, , , , , , , , ,1,2,2,2,2,2,2,2,1,2,2,2,2,6,3,3,1,010010000,000-0,1,2,003,00450,597
0100458303,1,8,10,3,30, ,1,2,4,6,1,1,1,2,2,2,0,1,1,1,1,3,3,3, ,3,4, ,1000, , ,2, ,5,02,1, , ,2,1,2,1,1,2,2,2,2,1,2,2,2,2,5,4,1,1,010010000,000-0,1,2,003,00450,597
0100458304,1,8,10,3,40, ,1,2,3,5,1,1,1,2,1,2,1,0,0,1,1,6,0,4, ,3,4, ,1500, , ,2, ,5,01,1, , ,1,1,2,1,1,2,2,2,1,1,2,2,2,2,5,2,3,1,010010000,000-0,1,2,003,00450,597
0100458305,1,8,10,3, ,1,1,2,1,3,1,1,1,2,1,2,1,0,0,1,1,0,5,4, ,3,3, ,1000,1880,1,1,1,1,01,1, , ,1,1,1,1,2,2,2,2,2,1,2,2,2,2,3,1,2,1,010010000,000-0,1,2,003,00450,597
0100461401,1,8,10,3,30, ,1,2,3,6,1,1,1,2,1,2,2,0,0,1,1,3,15,4, ,3,4, ,2000, , ,1,2,5,01,1, , ,2,1,1,1,1,1,2,2,1,1,1,1,2,2,5,3,2,1,010010000,000-0,1,3,004,00330,623
0100461402,1,8,10,3,30, ,1,2,2,6,1,1,1,2,1,2,2,0,0,1,1,3,4,3, ,3,4, ,1500, , ,1,1,1,01,1,02,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,3,2,1,1,010010000,000-0,1,3,004,00330,623
0100461403,1,8,10,3,30, ,1,2,3,5,1,1,1,2,1,2,2,0,0,1,1,0,7,4, ,3,4, ,1600, , ,1,1,1,01,1, , ,1,1,1,1,1,2,2,2,1,1,2,2,2,2,4,3,1,1,010010000,000-0,1,3,004,00330,623
0100461404,1,8,10,3,27, ,1,2,2,7,1,1,1,2,1,2,1,1,0,1,1,2,7,3, ,3,4, ,2000, , ,1,2,1,01,1, , ,1,1,1,1,1,1,2,2,1,1,1,2,2,2,3,1,2,1,010010000,000-0,1,3,004,00330,623
0100461405,1,8,10,3,20, ,1,2,3,5,1,1,1,2,2,2,1,0,0,1,1,3,3,3, ,3,4, ,1000, , ,2, ,1,01,1, , ,1,1,1,1,1,2,2,2,2,1,2,2,2,2,3,1,2,1,010010000,000-0,1,3,004,00330,623
0100467702,1,8,10,3,30, ,1,2,2,5,1,2,1,2,1,2,2,0,0,1,1,0,6,3, ,3,4, ,1500, , ,1,2,4,01,1, , ,1,2,1,1,1,1,2,1,2,1,1,2,2,2,3,2,1,1,010010000,000-0,1,3,004,00790,578
0100467703,1,8,10,3,25, ,1,2,1,4,1,1,1,1,1,2,2,0,0,1,1,0,9,3, ,3,4, ,2500, , ,2, ,1,01,1, , ,1,2,1,1,1,1,2,2,1,1,1,2,2,2,1,1,0,1,010010000,000-0,1,3,004,00790,578
0100467704,1,8,10,3,6, ,1,2,3,7,1,1,1,2,1,2,1,1,0,1,1,0,20,3, ,3,4, ,2000, , ,1,1,5,01,1, , ,1,1,1,1,1,1,2,2,1,1,1,2,2,2,4,1,3,1,010010000,000-0,1,3,004,00790,578
0100544902,1,8,10,3, ,1,1,2,1,4,1,1,1,2,1,2,1,0,0,1,1,0,10,3, ,3,1,1400, , ,1, , , , , , , , ,1,1,1,2,2,2,2,1,1,2,2,2,2,1,0,1,1,010010000,000-0,1,4,005,00140,664
0100544903,1,8,10,2, ,1,1,2,2,4,1,1,1,2,1,2,1,0,0,1,1,6,0,3, ,3,1,2500, , ,1, , , , , , , , ,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,0,1,010010000,000-0,1,4,005,00140,664
